,Index,Height(Inches),Weight(Pounds),BMI
0,1,65.78331,112.9925,18.355807678302504
1,2,71.51521,136.4873,18.76077310684635
2,3,69.39874,153.0269,22.33674748017829
3,4,68.2166,142.3354,21.50245817220586
4,5,67.78781,144.2971,22.075457913890467
5,6,68.69784,123.3024,18.36710423289858
6,7,69.80204,141.4947,20.4154645728229
7,8,70.01472,136.4623,19.56993121334167
8,9,67.90265,112.3723,17.133305067702583
9,10,66.78236,120.6672,19.02046086216934
10,11,66.48769,127.4516,20.26833753380647
11,12,67.62333,114.143,17.547348508838283
12,13,68.30248,125.6107,18.92818688534334
13,14,67.11656,122.4618,19.11157968768295
14,15,68.27967,116.0866,17.504696675202727
15,16,71.0916,139.9975,19.47327639507637
16,17,66.461,129.5023,20.611000013055953
17,18,68.64927,142.9733,21.327424810736233
18,19,71.23033,137.9025,19.107222096271055
19,20,67.13118,124.0449,19.35020971474211
20,21,67.83379,141.2807,21.58469905516222
21,22,68.87881,143.5392,21.269367527462048
22,23,63.48115,97.90191,17.078782916209665
23,24,68.42187,129.5027,19.446626327533725
24,25,67.62804,141.8501,21.80375882602986
25,26,67.20864,129.7244,20.18955659560701
26,27,70.84235,142.4235,19.950374874023318
27,28,67.49434,131.5502,20.30075209971635
28,29,66.53401,108.3324,17.20387551458831
29,30,65.44098,113.8922,18.696043862616456
30,31,69.5233,103.3016,15.024554964475108
31,32,65.8132,120.7536,19.598796187274907
32,33,67.8163,125.7886,19.22774818878031
33,34,70.59505,136.2225,19.215676161807018
34,35,71.80484,140.1015,19.102520414638956
35,36,69.20613,128.7487,18.897704302001124
36,37,66.80368,141.7994,22.33721087445959
37,38,67.65893,121.2319,18.617526731189958
38,39,67.80701,131.3478,20.08301624192526
39,40,64.04535,106.7115,18.289058242437893
40,41,68.57463,124.3598,18.59124156566311
41,42,65.18357,124.8591,20.658521685895888
42,43,69.65814,139.6711,20.2356952775042
43,44,67.96731,137.3696,20.90478931854053
44,45,65.98088,106.4499,17.189544783436343
45,46,68.67249,128.7639,19.194811765877265
46,47,66.88088,145.6837,22.896143078857303
47,48,67.69868,116.819,17.91877877164016
48,49,69.82117,143.6215,20.71097474806469
49,50,69.08817,134.9325,19.873049458844886
50,51,69.91479,147.0219,21.14458865928668
51,52,67.33182,126.3285,19.589166472939276
52,53,70.26939,125.4839,17.865326844905937
53,54,69.10344,115.7084,17.03416613845764
54,55,65.38356,123.4892,20.307065775196637
55,56,70.18447,147.8926,21.10666998360131
56,57,70.40617,155.8987,22.10937057160537
57,58,66.54376,128.0742,20.333039458918904
58,59,66.36418,119.3701,19.053879639719018
59,60,67.537,133.8148,20.624144540700204
60,61,66.50418,128.7325,20.461885140382563
61,62,68.99958,137.5453,20.30991872701255
62,63,68.30355,129.7604,19.55288960100463
63,64,67.01255,128.824,20.166931186340353
64,65,70.80592,135.3165,18.974351472968205
65,66,68.21951,109.6113,16.55745038026133
66,67,69.05914,142.4684,21.000592143860914
67,68,67.73103,132.749,20.342823128003243
68,69,67.21568,103.5275,16.109047367010806
69,70,67.36763,124.7299,19.3207224163255
70,71,65.27033,129.3137,21.338714178544045
71,72,70.84278,134.0175,18.77265273814221
72,73,69.92442,140.3969,20.186224462812476
73,74,64.28508,102.8351,17.49348441145111
74,75,68.2452,128.5214,19.399321968907383
75,76,66.35708,120.2991,19.206276172064737
76,77,68.36275,138.6036,20.849266775241215
77,78,65.4769,132.9574,21.801763273049747
78,79,69.71947,115.6233,16.722166042434676
79,80,67.72554,122.524,18.778960076350987
80,81,68.63941,134.6254,20.08793285598272
81,82,66.78405,121.8986,19.213590828145055
82,83,70.05147,155.3767,22.259054456648887
83,84,66.27848,128.9418,20.634976265733236
84,85,69.20198,129.1013,18.951731690994286
85,86,69.13481,139.4733,20.514118239698266
86,87,67.36436,140.8901,21.826064094277967
87,88,70.09297,131.5916,18.829317025662263
88,89,70.1766,121.1232,17.29012029168254
89,90,68.22556,131.5127,19.86226632815788
90,91,68.12932,136.5479,20.681033681634556
91,92,70.24256,141.4896,20.159473316649574
92,93,71.48752,140.6104,19.342486686457054
93,94,69.20477,112.1413,16.460720932092322
94,95,70.06306,133.457,19.112543228799016
95,96,70.55703,131.8001,18.611890201991923
96,97,66.28644,120.0285,19.203938796020296
97,98,63.42577,123.0972,21.511564785899903
98,99,66.76711,128.1432,20.208111684763526
99,100,68.88741,115.4759,17.106728686166402
100,101,64.87434,102.0927,17.053130260106006
101,102,67.09272,130.353,20.357552235588326
102,103,68.34761,134.1842,20.193427571940635
103,104,65.61073,98.64133,16.10884877970744
104,105,67.75551,114.5599,17.542791984028504
105,106,68.0212,123.4917,18.763096649406204
106,107,67.66193,123.048,18.894748741848172
107,108,66.3146,126.4772,20.21851519409834
108,109,69.43706,128.417,18.72385185866543
109,110,63.83624,127.1941,21.942580182015906
110,111,67.72277,122.0562,18.708791852491828
111,112,70.05098,127.6064,18.280974839764074
112,113,70.18602,131.6423,18.78665910433449
113,114,65.94588,111.8955,18.088085838290784
114,115,70.007,122.039,17.505359365318238
115,116,68.61129,128.5547,19.19782880571019
116,117,68.80817,132.6792,19.70054106407827
117,118,69.76212,136.0632,19.654258598264065
118,119,65.45539,115.9403,19.023871997507964
119,120,68.82534,136.9041,20.317723630172264
120,121,65.8003,119.8804,19.464702084194045
121,122,67.21474,109.0055,16.961907491434527
122,123,69.42021,128.2705,18.71157162870671
123,124,68.94396,135.2913,20.009339148399395
124,125,67.9415,106.8558,16.273582250891266
125,126,65.62506,123.2939,20.12600092622547
126,127,66.49607,109.5143,17.41142029653619
127,128,67.92809,119.3087,18.1772689082713
128,129,68.89415,140.2402,20.771274967200597
129,130,70.241,133.9841,19.090935776785795
130,131,68.26623,132.5807,19.999714380083606
131,132,71.23161,130.6988,18.108455247221514
132,133,69.09747,115.5637,17.015803874676713
133,134,64.39693,123.7941,20.985771722764056
134,135,71.09585,128.1427,17.822174586801836
135,136,68.21868,135.9646,20.538775642339427
136,137,65.91721,116.6273,18.869392233118717
137,138,67.4369,126.8241,19.604777511913756
138,139,73.90107,151.3913,19.487439966052936
139,140,69.98149,130.4022,18.7186219639962
140,141,69.51862,136.2068,19.81307255992597
141,142,65.18437,113.3989,18.76191749694003
142,143,68.00869,125.3287,19.04921313568889
143,144,68.3384,127.5846,19.205427044412552
144,145,65.18417,107.1564,17.729200840492787
145,146,68.26209,116.4588,17.569866987380408
146,147,68.56865,133.8402,20.01200966177869
147,148,64.49675,112.8901,19.07811756487626
148,149,68.71053,130.7568,19.470316516303193
149,150,68.89148,137.7571,20.40507930438614
150,151,69.54011,125.4036,18.230332194408327
151,152,67.39964,138.4659,21.428067421232626
152,153,66.47521,120.8184,19.220689772778023
153,154,66.01217,140.1539,22.610621153562864
154,155,72.44434,136.7397,18.31643830366506
155,156,64.12642,106.1139,18.140682034279106
156,157,70.98112,158.9562,22.179262529215354
157,158,67.50124,108.7868,16.784485190973108
158,159,72.01515,138.7758,18.811408972327225
159,160,65.31143,115.9136,19.103429221108644
160,161,67.07509,146.2922,22.858828426632275
161,162,64.39148,109.8765,18.629591309667727
162,163,69.37003,139.0499,20.31338226239705
163,164,68.37921,119.9001,18.02713505400916
164,165,65.31018,128.3069,21.146747310396517
165,166,67.1369,127.2428,19.84567952936505
166,167,68.39468,115.2306,17.31723316075065
167,168,66.2918,124.7975,19.963725402734045
168,169,67.1866,126.9511,19.770901172785823
169,170,65.99156,111.2711,17.962257440829525
170,171,69.43393,122.6089,17.878613117565642
171,172,67.97463,124.2084,18.897858281796694
172,173,67.76133,124.6453,19.08391128516347
173,174,65.27864,119.5169,19.717073224775802
174,175,73.83364,139.2983,17.963567159136897
175,176,66.81312,104.8265,16.508321010303554
176,177,66.89411,123.0424,19.330111480292846
177,178,65.73568,118.8923,19.342238497848385
178,179,65.98283,121.4939,19.6176924332801
179,180,66.58396,119.2488,18.909067014351066
180,181,67.11294,135.0239,21.074313892692867
181,182,65.87481,116.228,18.829003602528324
182,183,66.78067,109.1731,17.209546397488452
183,184,68.73577,124.2237,18.483924303450298
184,185,66.22666,141.1645,22.626381919044327
185,186,65.95968,129.1501,20.868584478638134
186,187,68.58372,127.8693,19.110829477809254
187,188,66.59347,120.9244,19.169287700396115
188,189,66.96574,127.6466,20.010559498690753
189,190,68.08015,101.4693,15.390367187164346
190,191,70.19025,144.9927,20.68939940667319
191,192,65.52149,110.9523,18.16871048010438
192,193,67.45905,132.8625,20.524722936980446
193,194,67.40985,146.3385,22.639519367616007
194,195,69.66158,145.5894,21.09106160622288
195,196,65.79799,120.8431,19.622391158882348
196,197,66.10558,115.7813,18.62591027509964
197,198,68.23987,128.3019,19.369215505005485
198,199,68.02403,127.4718,19.366214074451445
199,200,71.39044,127.8761,17.638619441260516
200,201,65.7316,121.4997,19.768882637129558
201,202,66.43358,112.7148,17.953989082454232
202,203,70.01309,135.002,19.36141244041234
203,204,69.48146,128.6789,18.73806726002739
204,205,68.62764,124.4062,18.56945770203009
205,206,68.36275,140.026,21.063229450533225
206,207,68.39028,117.519,17.6634140210148
207,208,68.77413,143.8737,21.383880908211722
208,209,69.9236,141.1703,20.297899746461074
209,210,71.55542,155.9414,21.410740288156784
210,211,68.44764,134.0093,20.10820509600628
211,212,66.71398,130.0975,20.548994469753538
212,213,66.68413,106.2265,16.793577329998442
213,214,67.93699,112.0489,17.06673008104018
214,215,68.89855,136.1884,20.168577973411843
215,216,67.29191,131.236,20.374295424242796
216,217,69.57212,131.3231,19.073305999675274
217,218,67.67479,119.5261,18.346965344763053
218,219,69.04155,116.9965,17.25468873172514
219,220,67.96765,138.5255,21.08048229426964
220,221,65.83982,109.6518,17.78254107501797
221,222,65.77288,130.1569,21.150897656193354
222,223,71.14106,137.1114,19.04531791634388
223,224,67.83055,113.759,17.381626508502134
224,225,65.0693,114.9725,19.089608884238135
225,226,69.70745,127.7149,18.477299606327495
226,227,69.92983,121.9972,17.538007167482732
227,228,66.11569,117.9607,18.9707105038816
228,229,68.61364,127.7141,19.07099064747346
229,230,68.9976,117.9619,17.419236473594886
230,231,66.79171,125.1554,19.72240136610634
231,232,68.02363,141.1026,21.43733198633892
232,233,69.67258,145.4822,21.068877550889027
233,234,71.82178,116.065,15.817734154895218
234,235,72.74676,135.7458,18.03243666220172
235,236,67.27951,132.9248,20.644087964727962
236,237,67.41015,115.6622,17.89353663012685
237,238,68.5315,114.3184,17.11161448105015
238,239,68.47126,148.952,22.334952047546384
239,240,68.51867,142.1878,21.291183888607176
240,241,63.72529,134.104,23.21525273276474
241,242,67.70483,141.8926,21.76084561330562
242,243,69.47115,138.7444,20.20979052231245
243,244,66.70198,134.449,21.243958764410632
244,245,65.23126,117.0167,19.332661044078325
245,246,69.89473,115.6752,16.64587852298992
246,247,69.83048,134.7905,19.43231557798074
247,248,65.3979,120.5746,19.81908266658827
248,249,68.32214,120.0835,18.084884549213186
249,250,65.93895,84.3598,13.639762615753433
250,251,70.09805,138.9394,19.877825344898692
251,252,66.05531,143.5245,23.124156368905904
252,253,68.23481,123.1347,18.591901441713798
253,254,65.21758,115.5261,19.094402729429692
254,255,69.16173,120.9844,17.780869880526737
255,256,67.60064,120.6473,18.559715599358952
256,257,67.28621,124.0352,19.259639018106
257,258,66.84323,117.2238,18.444048910466222
258,259,68.08281,127.9598,19.40680013618556
259,260,66.56991,116.7527,18.521080449605645
260,261,70.16973,121.9957,17.418078256348
261,262,67.85113,123.9952,18.934159391411384
262,263,66.62309,108.855,17.240670987962396
263,264,63.68816,104.6574,18.138771189984638
264,265,68.0356,132.248,20.085007563245373
265,266,66.941,127.1834,19.952685827322664
266,267,66.26292,125.1209,20.0329102210258
267,268,70.7301,133.322,18.734780139393973
268,269,70.70844,122.3364,17.20158674436139
269,270,73.26872,130.2636,17.058513844353474
270,271,63.79021,116.7431,20.168726776739355
271,272,67.84109,125.8534,19.223596564352185
272,273,67.78058,100.627,15.397821781420424
273,274,67.23901,118.4945,18.425144261406
274,275,66.75701,137.1255,21.631159307286644
275,276,69.03098,118.6991,17.511150204513996
276,277,68.52652,124.1641,18.58805782973974
277,278,64.65419,124.9442,21.0125168822946
278,279,65.14295,126.3889,20.937721348924374
279,280,66.74124,121.5255,19.179363891117617
280,281,66.99923,133.2951,20.87516355246123
281,282,70.26611,127.4072,18.14084338530751
282,283,67.57666,125.08,19.25527617290686
283,284,66.30582,102.8114,16.439677642836962
284,285,68.90702,134.2212,19.872362708071098
285,286,65.60543,100.9758,16.492749204179038
286,287,68.00189,145.8886,22.178629957986875
287,288,69.93715,155.3046,22.32152095717551
288,289,70.1459,138.7175,19.81901173119216
289,290,66.66364,116.2611,18.39126938185252
290,291,69.40676,120.6087,17.60071937145723
291,292,66.80598,114.4083,18.021136618586297
292,293,67.70048,133.3406,20.45192701828754
293,294,69.13438,92.74955,13.642029720815847
294,295,67.53769,131.7825,20.310502225799326
295,296,65.77912,118.3865,19.23452155062175
296,297,66.25769,131.1466,21.00099055863943
297,298,67.39038,130.2033,20.15493983327987
298,299,64.94327,129.1836,21.53249740051967
299,300,69.25699,143.1445,20.979868690970818
300,301,69.07739,138.7307,20.438831473714274
301,302,69.64403,130.9528,18.980267373676867
302,303,69.07705,124.3032,18.313445881077744
303,304,68.01304,135.3702,20.572829243829805
304,305,68.85664,124.1988,18.415396394552882
305,306,63.19158,111.2389,19.583647440453504
306,307,65.57591,129.4037,21.15501643770046
307,308,69.12101,127.7444,18.796502419312674
308,309,69.78765,121.3311,17.513393726324335
309,310,67.48203,118.2183,18.250037351944137
310,311,69.08809,123.3441,18.166335586378146
311,312,68.5529,151.9118,22.72454370968777
312,313,68.21327,115.3108,17.42158129493106
313,314,67.1012,122.3844,19.1082455797264
314,315,71.23661,129.2323,17.90275673602684
315,316,69.11946,138.2824,20.347992103176416
316,317,65.49848,144.0565,23.606181436584794
317,318,66.58706,120.8482,19.160896767620397
318,319,67.99831,113.3034,17.226697563790417
319,320,72.57747,149.3227,19.928632993595485
320,321,67.97585,130.6373,19.87527869239351
321,322,66.62347,122.387,19.38367489126498
322,323,67.29574,133.8677,20.780499411193414
323,324,65.95951,134.8336,21.78705921512106
324,325,66.54011,137.8363,21.885269687259104
325,326,68.07723,112.6812,17.09239952309328
326,327,65.83291,121.1964,19.658887605172488
327,328,69.23721,114.9262,16.85369979843472
328,329,64.69413,110.3762,18.539627732450963
329,330,69.21372,126.0337,18.495140198162613
330,331,67.16792,118.7008,18.496313239906172
331,332,67.8467,119.3108,18.221227272513275
332,333,69.27389,150.7397,22.082275319576976
333,334,67.90547,121.1142,18.464641112617365
334,335,67.076,118.4065,18.501057666877134
335,336,70.01531,142.759,20.472590051385428
336,337,70.05454,145.6305,20.860998613391658
337,338,70.86714,127.3425,17.825383589785456
338,339,66.0586,115.9678,18.682457919350103
339,340,65.23745,104.4441,17.252231730374504
340,341,68.7413,138.4905,20.603444217794827
341,342,69.51946,145.5049,21.165092154771344
