Index,Height(Inches),Weight(Pounds),BMI
1,65.78331,112.9925,18.35580768
2,71.51521,136.4873,
3,69.39874,153.0269,22.33674748
4,68.2166,,21.50245817
5,67.78781,144.2971,22.07545791
6,68.69784,,18.36710423
7,69.80204,141.4947,20.41546457
8,,136.4623,19.56993121
9,67.90265,112.3723,17.13330507
10,66.78236,120.6672,19.02046086
11,66.48769,127.4516,
12,67.62333,114.143,17.54734851
13,68.30248,125.6107,18.92818689
14,67.11656,,19.11157969
15,68.27967,116.0866,17.50469668
16,71.0916,139.9975,19.4732764
17,66.461,129.5023,20.61100001
18,,142.9733,21.32742481
19,71.23033,137.9025,19.1072221
20,67.13118,,19.35020971
21,67.83379,141.2807,21.58469906
22,68.87881,143.5392,21.26936753
23,63.48115,97.90191,17.07878292
24,68.42187,129.5027,19.44662633
25,67.62804,141.8501,21.80375883
26,67.20864,129.7244,20.1895566
27,70.84235,142.4235,19.95037487
28,67.49434,131.5502,20.3007521
29,66.53401,108.3324,17.20387551
30,65.44098,113.8922,18.69604386
31,69.5233,103.3016,15.02455496
32,65.8132,120.7536,19.59879619
33,67.8163,125.7886,
34,70.59505,136.2225,19.21567616
35,71.80484,140.1015,19.10252041
36,69.20613,128.7487,18.8977043
37,66.80368,141.7994,22.33721087
38,67.65893,121.2319,18.61752673
39,67.80701,131.3478,20.08301624
40,64.04535,106.7115,18.28905824
41,68.57463,124.3598,18.59124157
42,65.18357,124.8591,20.65852169
43,69.65814,139.6711,20.23569528
44,67.96731,137.3696,20.90478932
45,65.98088,106.4499,17.18954478
46,68.67249,128.7639,19.19481177
47,66.88088,145.6837,22.89614308
48,67.69868,116.819,17.91877877
49,69.82117,143.6215,20.71097475
50,69.08817,134.9325,19.87304946
51,69.91479,147.0219,21.14458866
52,67.33182,126.3285,19.58916647
53,70.26939,125.4839,17.86532684
54,69.10344,115.7084,17.03416614
55,65.38356,123.4892,20.30706578
56,70.18447,147.8926,21.10666998
57,70.40617,155.8987,22.10937057
58,66.54376,128.0742,20.33303946
59,66.36418,119.3701,19.05387964
60,67.537,133.8148,20.62414454
61,66.50418,128.7325,20.46188514
62,68.99958,137.5453,20.30991873
63,68.30355,129.7604,19.5528896
64,67.01255,128.824,20.16693119
